,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,2.04634,-0.8737694,-1.3951473,-1.336903,-0.9121006,1.7704058,-1.6915392,-3.1584024,-2.5723526,2.1851807,1.1289505,0.21465412,1.748119,-1.978562,-0.27405676,-3.047429,0.17150246,0.34149352,-2.973916,-0.05243103,-1.0505755,-0.45248625,-1.002569,0.3510167,1.4283279,0.7402146,-1.7744999,-0.6710059,-1.3050954,-1.4209387
1,8.888396,2.6160612,-8.147325,-2.4050765,2.9514635,0.4409323,0.8244642,-11.77367,-6.363803,1.4530493,2.0238104,-1.2347693,7.157375,-6.733064,1.9407022,-5.4005694,2.7486765,0.038419478,-3.8921657,-2.449549,-3.4007406,0.42481908,-5.0604353,2.327492,3.7089148,3.5268116,-5.1434608,1.4841145,-3.9925568,2.095881
2,2.5696325,4.397246,0.53735906,-0.49179223,0.108525045,-0.90933144,2.332093,-1.0143135,-0.25242102,-3.9710028,0.84075654,-1.8304935,-6.46079,-5.2953258,-3.1188285,-0.24973163,0.5926453,-5.056748,-1.1028931,1.1267577,0.982432,3.678829,-9.600925,3.216393,3.205009,6.183484,-0.49122706,1.4437152,5.9399796,-4.1953316
3,1.2534375,0.17471035,-0.67021984,-0.18694665,0.33029774,0.8257256,0.65148395,-0.8966016,-1.9110502,-0.3452017,1.9917786,0.5299917,-0.5900404,-1.3409826,-0.29849562,-1.1834294,0.58622074,0.3310504,-0.648014,0.9449715,-0.33490252,-0.50217336,-1.3694243,1.1842219,1.3699155,1.0104145,-1.412864,0.3563649,0.16761352,-1.6583428
4,3.366612,0.8467114,-0.8842771,0.27131817,-0.14264157,-0.31361037,0.06922449,-0.40769094,0.43516022,-1.565769,3.479456,1.0029973,-1.8345087,-0.87791395,-0.39468613,-1.366865,-1.5216868,3.195293,0.06983259,0.4896764,-0.974449,-0.5094158,-3.097551,1.2118586,0.31604302,1.7623181,-1.6806756,0.82728404,-0.4005831,-2.4721518
5,-0.2900035,8.608558,0.7636355,-6.172529,-0.70492053,3.9967036,0.3121734,0.44116795,-3.18658,-5.9602423,4.4479494,2.7644992,3.6782484,-5.6917343,-5.4661784,-2.2116363,-3.034093,0.025046924,-3.0472772,-0.7983324,4.545045,1.3345169,-3.929912,4.97026,5.105845,-2.3105092,3.565001,-1.8227423,-3.5219805,-1.8245875
6,9.50988,3.5383236,-4.87976,-5.1937103,-6.8189073,13.803339,2.156602,0.55014336,2.0289087,1.4232203,-5.0316095,5.280852,4.4164658,2.1721826,-7.7375145,-0.43337423,4.496396,-0.09815627,-0.085303,4.1275783,-4.8902903,-8.383202,1.2631434,-0.06642031,11.0797825,-0.6212122,1.899494,-4.6316185,-2.038096,-4.3876605
7,1.0844646,-1.6571704,-2.1303954,-2.1053057,-0.7255284,4.4594016,-3.5581827,-4.143395,-4.501484,3.3082635,1.4252678,-2.1480563,1.8681638,-3.192428,0.48161957,-3.5919487,-1.3964926,0.6525734,-4.1702013,0.93746954,-2.1500607,-0.9566832,0.38470572,-0.6922565,0.83327615,0.4977758,-2.8009324,-1.6953592,-2.2462802,-2.6180341
8,1.1398661,0.45381117,0.041933604,1.1401094,0.26653433,0.9990705,2.2915366,0.83262,-1.6165301,-1.7961391,0.082365744,-0.5670154,-1.6258461,-0.7984112,-1.8431388,-0.42594582,3.0011797,-0.7493416,1.3095198,1.680437,-0.7541959,0.9792992,-1.1344522,1.3088214,0.9034552,2.0505137,0.6075352,1.5157691,1.4885365,-0.7886663
9,-0.6310111,-0.6512426,-1.6908865,-2.1143892,0.84244704,-0.8210447,0.20955865,-1.8432523,-3.719522,1.5149623,1.2102958,3.4962645,-0.046861682,-0.5074258,-1.4665534,-0.99184364,0.8738001,-0.567137,-3.212284,1.4804916,-1.0742583,-1.9138469,-0.82366335,2.723766,4.1368027,2.185343,-0.9202187,-0.019620314,1.1449412,-3.0790396
10,0.5004058,0.069102176,0.06167262,-0.1777078,-0.14496994,0.83043176,0.24424979,0.020484665,-0.657346,-0.1345778,0.5228836,0.30571502,0.17320994,-0.31198242,-0.3246929,-0.3972737,0.060245596,0.0083688805,-0.2807748,0.3131499,-0.17956598,-0.020783905,-0.31168017,0.41782126,0.30123135,0.41859722,-0.45361903,-0.29672906,-0.25536615,-0.8125656
11,2.431784,2.7556055,-1.3034874,-2.1592505,-1.6549746,1.3161132,1.4240234,-0.59823227,0.34014398,-1.3539362,1.2141635,2.1324375,-2.8500488,-4.197686,-2.1498764,0.37211415,-3.9615567,1.3822881,-0.70891994,1.1669296,0.6329241,1.0955696,-3.131585,0.90536195,3.2935731,1.4390526,-1.4063853,-2.364906,-0.054317903,-3.4465525
12,0.97548443,0.4614547,0.24567652,-1.0097076,-0.68687034,1.139663,0.4529731,-0.17965266,-1.5060812,0.031109944,1.0651813,1.6294538,-0.6974806,-1.1223794,-0.76629496,-0.52937937,-0.6208118,0.02035132,-0.9466923,0.18868081,0.18658493,-0.43402937,-1.0656909,1.0302724,1.3363874,1.4893552,-1.3110199,-0.22418775,-0.04869735,-1.9627073
